ASVID	Kingdom	Phylum	Class	Order	Family	Genus	sample_30189	sample_30206	sample_30221	sample_30234	sample_30252	sample_30423	sample_30487	sample_30489	sample_30502	sample_30534	sample_30588	sample_30598	sample_30599	sample_30621	sample_30625	sample_30641	sample_30654	sample_30659	sample_30705	sample_30728	sample_30729	sample_30768	sample_30817	sample_30841	sample_30847	sample_30850	sample_30900	sample_30901	sample_30905	sample_30928	sample_30986	sample_30992	sample_30995	sample_30996	sample_31032	sample_31047	sample_31058	sample_31083	sample_31132	sample_31151	sample_31180	sample_31188	sample_31208	sample_31213	sample_31238	sample_31250	sample_31253	sample_31268	sample_31275	sample_31287	sample_31309	sample_31313	sample_31332	sample_31382	sample_31395	sample_31419	sample_31421	sample_31426	sample_31429	sample_31436	sample_31455	sample_31465	sample_31507	sample_31513	sample_31517
5fdbcbf910859787c61abdd2787462be	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	93.6871226	111.271463648	93.612301879	98.448071486	73.239812625	111.278524354	91.103834387	97.569552998	73.343791961	99.768503413	96.797533446	114.195211268	103.942189805	96.172310245	73.288438686	73.257649432	73.259343378	96.152728107	105.719807466	73.343596555	73.237834226	98.572879968	92.324448123	93.834447207	91.865526874	102.796456221	102.157383919	112.975144996	93.762665934	108.517774302	95.505374499	90.852491186	113.933143469	101.194919091	73.316024569	103.001457568	91.708924899	95.87377166	92.980619279	99.730971692	101.748737877	102.353804793	73.268448821	102.930586877	73.255104466	112.294880666	93.765793347	73.339282931	100.626536517	94.223561826	103.863453283	73.341757322	73.235605472	73.24000424	112.289297586	114.350853506	115.351421706	115.295162151	112.560628761	73.223515626	73.262267773	114.834169888	106.350595036	73.243903367	92.968445305
7a8d774ebc149e3a4db3f186814a9964	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia.Shigella	32.982648	22.330764	36.892814	19.381641	19.535411	21.534393	35.78121	19.642648	19.586046	18.754794	22.40726	21.42778	33.631528	22.839261	19.555536	19.55373	19.556361	35.97892	19.155819	19.583909	19.528722	19.346829	36.270835	37.050018	36.856714	23.853199	34.089814	21.560577	24.872947	31.079228	21.576334	32.414233	21.668453	18.48464	19.571181	19.850058	36.750117	34.157691	36.361599	30.989172	32.853777	20.306545	19.564696	19.036031	19.549387	26.863115	36.148004	19.584197	18.419062	35.457831	27.160177	19.585198	19.527194	19.528956	26.35893	24.11165	25.756589	25.398368	28.317871	19.520837	19.561262	25.463103	18.928836	19.531289	30.393403
7744ee0171a4b767f8815c6455103d7e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	27.30264086	24.88257402	27.195882	27.01716256	22.86066634	24.90968407	27.61551251	27.14802402	22.78644332	26.83063561	27.17042669	24.4497192	25.69224661	27.25387187	22.82972567	22.83775216	22.83462802	26.82879714	25.86962729	22.78873237	22.86812186	26.99858681	27.40917669	27.15733752	27.46354719	26.17170759	25.95279441	24.6404278	27.56365526	25.05035051	27.40523953	27.76418828	24.4828945	26.61423445	22.80770214	26.27643311	27.49051464	26.923481	27.3067787	26.41979384	26.04764894	26.36305103	22.82400885	26.31693157	22.84286096	24.57992136	27.19202863	22.78930209	26.70729329	27.14137487	25.89343851	22.78774938	22.87017273	22.86742996	24.59416245	24.33896169	24.1349461	24.15344085	24.49960497	22.8792936	22.82884743	24.22367721	25.77798439	22.86419272	27.50054943
4c13e11c59ed3c940d380a0f33188cc9	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	50.787569411	54.226624313	47.996980889	59.641866633	48.98431808	54.816181779	49.360158415	59.670913343	48.966601792	59.78060837	57.800472133	54.143947901	47.911946125	57.63235301	48.975302772	48.983293803	48.983392982	48.058547401	57.966558098	48.966254014	48.983477814	59.635732553	48.718003198	47.83630951	48.407894001	55.233952455	47.990169557	54.366920571	56.71596744	48.618590912	58.739976529	51.86757432	54.033578724	59.623316044	48.971040097	58.138659032	48.518497503	49.409284257	48.51002009	50.771794753	48.946609561	57.963215454	48.982652656	58.762527057	48.983063202	50.69719175	48.48345392	48.96742755	59.81951399	48.870654745	52.54628333	48.966971165	48.983774172	48.982968446	51.050854252	52.158337064	50.742182886	51.0086636	49.612580714	48.985737827	48.983633587	51.075222823	57.977014304	48.982381688	52.848687579
d10716680579ff0bcf3e5dc53a1cb619	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	12.30268943	16.71864657	11.5095049	15.62811351	11.76721093	16.8796987	11.42440289	15.45365353	11.78773086	15.93032249	14.80200372	17.29014386	13.43672821	14.63422393	11.77990997	11.76221311	11.76095114	12.00587815	16.65118705	11.78944505	11.77186942	15.65196552	11.4826723	11.50563873	11.30940547	15.30302529	13.13021876	17.09660803	13.91182349	14.53256913	14.79559989	12.05555793	17.20470835	16.1783401	11.78342348	16.14418072	11.31162584	12.34377893	11.54115918	13.46847252	13.34089699	15.96711452	11.75930308	16.29948384	11.76445557	15.89860434	11.67958136	11.78654558	16.11495791	11.87674732	14.7708676	11.78720752	11.77180809	11.77298994	16.00684084	16.74237457	16.51584147	16.58695241	15.61429544	11.76984807	11.75845647	16.51476388	16.78217335	11.77338351	12.72524359
8994967a8e7c878ad16a3bb998fa8ce5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	7.14114918	7.1316017	7.57505671	5.857648392	16.248499011	7.034063748	7.278938091	5.829680256	16.3338934	5.872000685	6.114717818	7.227926604	7.933686509	6.122981363	16.28334825	16.276991525	16.280934392	7.652288301	6.33948198	16.330550853	16.23857952	5.86200373	7.420058182	7.606874538	7.451292565	6.71172895	7.861105433	7.157630495	6.19906849	7.973340719	5.921354465	6.876854347	7.240312943	5.936025795	16.309274801	6.236922912	7.429297492	7.430383592	7.475074324	7.338355639	7.696639835	6.24666521	16.294052663	6.130263135	16.270522751	7.751487812	7.505955692	16.330781555	5.887437361	7.460074991	7.183760751	16.332467286	16.236037936	16.239021051	7.69283671	7.570722798	7.837466149	7.791155756	7.941091056	16.225415189	16.288239967	7.766367752	6.354234341	16.242904875	6.789298651
3fb440e89f5d5739309fb74e9a96ed90	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	14.446913781	19.425777958	11.278520658	24.798620444	19.47642556	20.097590054	12.675851251	24.782442509	19.522346638	25.034141708	22.607096512	19.518008565	11.824200597	22.380484149	19.491260093	19.502125398	19.506259532	11.500660202	23.330843247	19.51864135	19.465009746	24.799628096	12.015654923	11.109072846	11.637221907	20.05059284	11.799962368	19.69485519	21.201627299	12.907465395	23.604670862	15.514441471	19.375164527	24.94140813	19.507477409	23.360868179	11.75273462	13.016795266	11.8210445	14.799224492	12.85277346	23.121978488	19.517466251	24.067304629	19.495178737	15.490313949	11.838500831	19.520925983	25.12923803	12.30372291	17.062786651	19.521680228	19.463272358	19.464567181	15.88965981	17.273088816	15.737003482	16.033375743	14.283074639	19.457094877	19.514081874	16.079446444	23.382026822	19.467042143	16.750377813
2e89171587049da1b519f44e0dce1f63	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	44.050737589	45.36369556	42.664108827	48.317683873	38.317837965	45.655903537	43.41553099	48.34319121	38.303562061	48.360300582	47.437228767	45.266588947	42.333381386	47.367573017	38.312018223	38.313129821	38.312471537	42.623293124	47.350395223	38.304080241	38.319456717	48.312291207	43.067020111	42.577992179	42.926028846	46.042765622	42.427677226	45.397579871	46.964709492	42.576312539	47.925367785	44.655567794	45.215697119	48.256766267	38.307702941	47.485024834	42.985840046	43.31104547	42.940683687	43.892951893	42.927013246	47.411616736	38.310306866	47.796239054	38.314211775	43.548295865	42.90394878	38.304098438	48.364684553	43.085898428	44.680507132	38.3038082	38.319867364	38.319362066	43.731384092	44.251424462	43.500716415	43.639918909	42.9813166	38.321631215	38.31125008	43.683861311	47.34422035	38.318722977	45.085985083
efc781dff72f4542c6b9d02fb5fd9e32	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R.7_group	18.7701641746	21.6717874298	17.6438278596	22.7204503375	22.7408839444	21.9084135726	17.9810581374	22.6540962	22.7712751995	22.8914258083	21.8403872894	21.8968896502	18.4830723063	21.7194489511	22.7520341884	22.7544666609	22.7565225969	17.8827922015	22.691054623	22.7694125005	22.7353250431	22.7290813279	17.8278150244	17.5978381757	17.6646996242	21.3363844855	18.3654851538	21.8768854445	21.1450830092	19.1617706537	22.1036086256	18.9619701304	21.828874658	22.9546051117	22.7620268168	22.5196491474	17.6960315791	18.4046680912	17.7981138528	19.2817360561	18.7195351688	22.3928691931	22.7625768376	22.7634190367	22.751044047	20.3336857508	17.8531970896	22.7702752492	22.9827011125	18.0478091921	20.3502802929	22.7708114617	22.7342794761	22.7352274328	20.4777282007	21.1061132188	20.6174983556	20.721492048	19.9129383448	22.7303273854	22.7603763638	20.7082419146	22.7510074659	22.7367520545	19.5337271834
b856dc356e95110b100c5c582ac0583c	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	16.3913904455	13.0222445986	16.9062192571	14.094427341	14.0722226839	12.9190018738	17.0489374142	14.2280030516	14.03836931	13.8635711345	14.6718556065	12.5771557191	15.3118152168	14.7991391211	14.0598554738	14.0569878012	14.0546466134	16.4981215559	13.2410597674	14.0402770241	14.0784246381	14.0759257088	16.9722613239	16.9011419116	17.1007709602	14.178025991	15.5737033903	12.7314123169	15.33730701	14.4633677331	14.7127872538	16.6434980302	12.6373438152	13.6672565826	14.0487730237	13.6379771772	17.1047018864	16.2950545749	16.9093166908	15.4478179359	15.4595217655	13.7702113574	14.0478856109	13.5415641059	14.0608965161	13.4906541126	16.7921097688	14.0395506727	13.7229615596	16.6503755014	14.483817882	14.0389156496	14.0795348249	14.0784166878	13.4262995785	12.9038154099	13.0034579918	12.9633552174	13.6486138056	14.0839274377	14.0502433581	13.023662301	13.1406855641	14.076757763	16.1398016185
